"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 13 12:01:13 GMT 2025","Tue May 13 12:01:16 GMT 2025","3010","","ui.WebFormTests","","ui.WebFormTests","sendTextTest","sendTextTest()",""
"passed","Tue May 13 12:01:11 GMT 2025","Tue May 13 12:01:11 GMT 2025","747","","ui.NavigationTests","","ui.NavigationTests","previousButtonDisabledTest","previousButtonDisabledTest()",""
"passed","Tue May 13 12:01:21 GMT 2025","Tue May 13 12:01:22 GMT 2025","987","","ui.WebFormTests","","ui.WebFormTests","disabledFieldTest","disabledFieldTest()",""
"passed","Tue May 13 12:01:09 GMT 2025","Tue May 13 12:01:11 GMT 2025","1254","","ui.NavigationTests","","ui.NavigationTests","clickNextButtonTest","clickNextButtonTest()",""
"passed","Tue May 13 12:01:18 GMT 2025","Tue May 13 12:01:21 GMT 2025","2985","","ui.WebFormTests","","ui.WebFormTests","submitFormTest","submitFormTest()",""
"passed","Tue May 13 12:01:11 GMT 2025","Tue May 13 12:01:12 GMT 2025","755","","ui.NavigationTests","","ui.NavigationTests","openNavigationTest","openNavigationTest()",""
"passed","Tue May 13 12:01:12 GMT 2025","Tue May 13 12:01:13 GMT 2025","720","","ui.NavigationTests","","ui.NavigationTests","checkTextTest","checkTextTest()",""
"passed","Tue May 13 12:01:07 GMT 2025","Tue May 13 12:01:09 GMT 2025","2448","","ui.HomePageTests","","ui.HomePageTests","openHomePageTest","openHomePageTest()",""
"passed","Tue May 13 12:01:17 GMT 2025","Tue May 13 12:01:18 GMT 2025","1081","","ui.WebFormTests","","ui.WebFormTests","dropdownSelectTest","dropdownSelectTest()",""
"passed","Tue May 13 12:01:16 GMT 2025","Tue May 13 12:01:17 GMT 2025","794","","ui.WebFormTests","","ui.WebFormTests","openWebFormTest","openWebFormTest()",""
